Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Maintenance,,,,2020-02-26 17:40:23,2020-02-26 17:41:07,43.203s,FAILED
,,,,,,,
Test Cases/Maintenance 1,,,,2020-02-26 17:40:24,2020-02-26 17:40:46,21.827s,FAILED
"navigateToUrl(""https://twitter.com"")",,,,2020-02-26 17:40:24,2020-02-26 17:40:25,0.520s,FAILED
delay(5),,,,2020-02-26 17:40:25,2020-02-26 17:40:30,5.057s,PASSED
"click(findTestObject(""Maintenance/Halaman Awal/div_Log in""))",,,,2020-02-26 17:40:30,2020-02-26 17:40:30,0.190s,FAILED
"setText(findTestObject(""Maintenance/Halaman Login/input_Phone email or username_sessionusername_or_email""), ""Maahkinderjoy"")",,,,2020-02-26 17:40:30,2020-02-26 17:40:30,0.107s,FAILED
"setText(findTestObject(""Maintenance/Halaman Login/input_Password_sessionpassword""), ""alamsyah333"")",,,,2020-02-26 17:40:30,2020-02-26 17:40:30,0.102s,FAILED
"click(findTestObject(""Maintenance/Halaman Login/div_Log in""))",,,,2020-02-26 17:40:30,2020-02-26 17:40:30,0.198s,FAILED
delay(10),,,,2020-02-26 17:40:30,2020-02-26 17:40:40,10.008s,PASSED
"click(findTestObject(""Maintenance/Logout/div_Selengkapnya""))",,,,2020-02-26 17:40:40,2020-02-26 17:40:40,0.092s,FAILED
delay(5),,,,2020-02-26 17:40:40,2020-02-26 17:40:45,5.005s,PASSED
"click(findTestObject(""Maintenance/Keluar/div_Keluar""))",,,,2020-02-26 17:40:45,2020-02-26 17:40:46,0.093s,FAILED
closeBrowser(),,,,2020-02-26 17:40:46,2020-02-26 17:40:46,0.039s,PASSED
,,,,,,,
Test Cases/Maintenance 2,,,,2020-02-26 17:40:46,2020-02-26 17:41:07,20.923s,FAILED
"navigateToUrl(""https://twitter.com"")",,,,2020-02-26 17:40:46,2020-02-26 17:40:46,0.026s,FAILED
delay(5),,,,2020-02-26 17:40:46,2020-02-26 17:40:51,5.006s,PASSED
"click(findTestObject(""Maintenance/Halaman Awal/div_Log in""))",,,,2020-02-26 17:40:51,2020-02-26 17:40:51,0.098s,FAILED
"setText(findTestObject(""Maintenance/Halaman Login/input_Phone email or username_sessionusername_or_email""), ""SupestarW"")",,,,2020-02-26 17:40:51,2020-02-26 17:40:51,0.105s,FAILED
"setText(findTestObject(""Maintenance/Halaman Login/input_Password_sessionpassword""), ""alamsyah333"")",,,,2020-02-26 17:40:51,2020-02-26 17:40:51,0.142s,FAILED
"click(findTestObject(""Maintenance/Halaman Login/div_Log in""))",,,,2020-02-26 17:40:51,2020-02-26 17:40:51,0.064s,FAILED
delay(10),,,,2020-02-26 17:40:51,2020-02-26 17:41:01,10.004s,PASSED
"click(findTestObject(""Maintenance/Logout/div_Selengkapnya""))",,,,2020-02-26 17:41:01,2020-02-26 17:41:01,0.076s,FAILED
delay(5),,,,2020-02-26 17:41:01,2020-02-26 17:41:06,5.014s,PASSED
"click(findTestObject(""Maintenance/Keluar/div_Keluar""))",,,,2020-02-26 17:41:06,2020-02-26 17:41:07,0.074s,FAILED
closeBrowser(),,,,2020-02-26 17:41:07,2020-02-26 17:41:07,0.011s,PASSED
